"* Required Fields","* Obligatoriska fält"
"Comment","Kommentar"
"Contact Form","Kontaktformulär"
"Contact Information","Kontaktinformation"
"Contact Us","Kontakta oss"
"Contacts Section","Sektion för kontakter"
"Contacts","Kontakter"
"Email Options","Alternativ för e-post"
"Email Sender","Avsändare"
"Email Template","Mall för e-post"
"Email","E-post"
"Enable Contact Us","Aktivera Kontakta oss"
"Name","Namn"
"Send Emails To","Skicka e-post till"
"Submit","Skicka"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Det gick inte att skicka ditt meddelande. Vänligen försök igen senare."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Vi har tagit emot din förfrågan och svarar så snart så möjligt. Tack för att du kontaktat oss."
