"* Required Fields","* Obligatoriska fält"
"A new password has been sent.","Ett nytt lösenord har skickats till din e-postadress."
"Account Dashboard","Kontoöversikt"
"Account Information","Kontoinformation"
"Account Sharing Options","Alternativ för delning av konto"
"Account information was successfully saved","Informationen för kontot har sparats"
"Action","Åtgärd"
"Add New Address","Lägg till ny adress"
"Add New Customer Group","Lägg till ny kundgrupp"
"Add New Customer","Lägg till ny kund"
"Added From","Tillagt Från"
"Additional Address Entries","Ytterligare adressposter"
"Address Book","Adressuppgifter"
"Address Information","Adressinformation"
"Address","Adress"
"Addresses","Adresser"
"Admin","Administratör"
"All Store Views","Alla butiksvyer"
"All countries","Alla länder"
"All","Alla"
"Always optional","Always optional"
"Amount","Belopp"
"Approved","Godkänd"
"Are you sure that you want to remove this item?","Är du säker på att du vill ta bort denna artikel?"
"Are you sure you want to cancel adding of this address?","Är du säker på att du inte vill lägga till denna adress?"
"Are you sure you want to delete this address?","Är du säker på att du vill ta bort denna adress?"
"Are you sure?","Är du säker?"
"Array of Entity collections is expected","En vektor bestående av entitetssamlingar förväntas"
"Assign a customer group","Tilldela en kundgrupp"
"Average Sale","Genomsnittlig försäljning"
"Back to Login","Tillbaka till inloggningen"
"Back","Tillbaka"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Fakturainformation"
"Bought From","Köpte från"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Om du registrerar dig som kund hos oss, kan du handla mycket smidigare, använda dig av flera leveransadresser, granska och spåra dina beställningar och mycket mer."
"CSV","CSV"
"Can't save address","Kan inte spara adressen"
"Can't save customer","Kan inte spara kunden"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Avbryt"
"Change Account Password","Ändra kontolösenordet"
"Change Billing Address","Ändra fakturaadress"
"Change Password","Byt lösenord"
"Change Shipping Address","Ändra leveransadressen"
"City","Stad"
"Company","Företag"
"Config","Inställningar"
"Confirm New Password","Bekräfta nytt lösenord"
"Confirm Password","Bekräfta lösenord"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Kontaktinformation"
"Continue Shopping","Fortsätt att handla"
"Country","Land"
"Create New Account Options","Alternativ för att skapa nytt konto"
"Create New Customer Account","Skapa nytt kundkonto"
"Create Order","Skapa beställning"
"Create an Account","Registrera dig som kund"
"Create customer address","Create customer address"
"Create customer","Create customer"
"Create","Create"
"Current Password","Nuvarande lösenord"
"Customer Addresses","Kundadresser"
"Customer Api","Customer Api"
"Customer Configuration","Kundinställningar"
"Customer Group was successfully deleted","Kundgruppen har tagits bort"
"Customer Group was successfully saved","Kundgruppen har sparats"
"Customer Group","Kundgrupp"
"Customer Groups","Kundgrupper"
"Customer Information","Information om kunden"
"Customer Login","Logga in"
"Customer Since","Kund sedan"
"Customer View","Kundvy"
"Customer collection expected","Kundsamling förväntades"
"Customer doesn't have primary billing address","Kunden saknar förvald fakturaadress"
"Customer email already exists","Angiven e-post för kund finns redan"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customer","Kund"
"Customers Only","Endast kunder"
"Customers Section","Customers Section"
"Customers","Kunder"
"DD","DD"
"Date Added","Lades till"
"Date of Birth is required.","Date of Birth is required."
"Date of Birth","Date of Birth"
"Date","Datum"
"Day","Day"
"Days in Wishlist","Antal dagar i önskelistan"
"Default Addresses","Förvalda adresser"
"Default Billing Address","Förvald fakturaadress"
"Default Email Domain","Förvald domän för e-post"
"Default Group","Förvald grupp"
"Default Shipping Address","Förvald leveransadress"
"Default Welcome Email","Default Welcome Email"
"Delete Address","Ta bort adress"
"Delete Customer Group","Ta bort kundgrupp"
"Delete Customer","Ta bort kund"
"Delete customer address","Delete customer address"
"Delete customer","Delete customer"
"Delete","Ta bort"
"Deleted Stores","Ta bort butiker"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Ändra kontoinformation"
"Edit Address Entry","Ändra adresspost"
"Edit Address","Ändra adress"
"Edit Customer Group ""%s""","Ändra kundgruppen ""%s"""
"Edit Customer Groups","Ändra kundgrupper"
"Edit Customer's Address","Ändra kundens adress"
"Edit Group","Ändra grupp"
"Edit Newsletter Subscription","Ändra prenumeration på nyhetsbrev"
"Edit Newsletters","Ändra nyhetsbrev"
"Edit Personal Information","Ändra personlig information"
"Edit","Ändra"
"Email Address","E-postadress"
"Email Sender","Avsändare av e-post"
"Email","E-post"
"Entity collection is expected","Entitetssamling förväntas"
"Error during retrieval of option value: %s","Ett fel uppstod när alternativvärdet (%s) skulle hämtas"
"Ext. Price","Ext. pris"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Förnamn"
"First name can't be empty","First name can't be empty"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Avsändare för e-post för glömda uppgifter"
"Forgot Email Template","Mall för e-post för glömda uppgifter"
"Forgot Your Password?","Glömt ditt lösenord?"
