"Costs for inland shipping","Kostnad för frakt inom Sverige"
"Costs for shipping to foreign countries","Kostnad för frakt utanför Sverige"
"Custom text for checkout page","Anpassad text till kassan"
"Cash on Delivery","Postförskott"
"Cash on Delivery fee","Postförskottsavgift"
"You will be charged an extra fee of %s.","En extra kostnad om %s tillkommer."
"Incl. Tax","inkl. moms"
"Cash on Delivery fee %s","Postförskottsavgift %s"
"Refund Cash on Delivery fee","Återbetalning av Postförskottsavgift"
"Display Zero Fee","Visa om kostnad är noll"
"Tax Class for Cash on Delivery Fee","Momsklass för postförskottsavgift"
"Cash on Delivery fee include tax","Postförskottsavgift är inkl moms"
"Display Cod Fee","Visa postförskottsavgift"
"Cash On Delivery","Postförskott"
"Cash on Delivery Fee","Postförskottsavgift"
"Cash On Delivery fee","Postförskottsavgift"
"Cash on Delivery fee %s","Postförskottsavgift %s"
"Cash on Delivery fee (Excl.Tax)","Postförskottsavgift (exkl moms)"
"Cash on Delivery fee (Incl.Tax)","Postförskottsavgift (inkl moms)"
"Cash on Delivery fee Excl. Tax","Postförskottsavgift (exkl moms)"
"Cash on Delivery fee Incl. Tax","Postförskottsavgift (inkl moms)"
